INFO  - 2015-01-04 19:12:57.530; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-01-04 19:12:57.695; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\
INFO  - 2015-01-04 19:12:58.180; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-01-04 19:12:58.195; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\, dataDir=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\
INFO  - 2015-01-04 19:12:58.671; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-01-04 19:12:58.825; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-01-04 19:12:58.825; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-01-04 19:12:59.100; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data
INFO  - 2015-01-04 19:12:59.920; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index/
WARN  - 2015-01-04 19:12:59.925; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2015-01-04 19:12:59.945; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index
INFO  - 2015-01-04 19:13:00.390; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Noam\Dropbox\Documents\JCE\solr-4.10.3\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-04 19:13:00.390; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-01-04 19:13:00.405; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-01-04 19:13:00.405; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-01-04 19:13:00.410; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-01-04 19:13:00.415; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-01-04 19:13:00.420; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-01-04 19:13:00.740; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-01-04 19:13:01.085; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.085; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.085; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.085; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.100; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-01-04 19:13:01.100; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-01-04 19:13:01.105; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-01-04 19:13:01.105; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-01-04 19:13:01.105; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-01-04 19:13:01.115; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.115; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-01-04 19:13:01.115; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-01-04 19:13:01.115; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
